internalid,expense_number,fyle_amount,netsuite_amount,fyle_account,fyle_account_name,netsuite_account,fyle_date,netsuite_date,receipt_url,export_url
58327,E/2024/03/T/362,173.42,,439,Chase Unlimited - 0434,Chase Unlimited - 9186,2024-03-19 00:00:00+00,,https://7168963.app.netsuite.com/core/media/media.nl?id=37498&c=7168963&h=-El_pFwvJhJml5BQ6XzmPavKhEHFjpi3OyIFlYHh4qklUmK9,https://7168963.app.netsuite.com/app/accounting/transactions/cardchrg.nl?id=58327
55443,E/2024/03/T/264,42,,439,Chase Unlimited - 0434,Chase Unlimited - 9186,2024-03-14 00:00:00+00,,https://7168963.app.netsuite.com/core/media/media.nl?id=36471&c=7168963&h=pX9d2vEYCHP1Y2ox1gfax02eQF3Jd_kiqpfu1nh6yOBWQAR5,https://7168963.app.netsuite.com/app/accounting/transactions/cardchrg.nl?id=55443
55444,E/2024/03/T/175,1234.19,,439,Chase Unlimited - 0434,Chase Unlimited - 9186,2024-03-08 00:00:00+00,,https://7168963.app.netsuite.com/core/media/media.nl?id=36472&c=7168963&h=g84udrgNvAyBQ8lDglukNsg1CZWlsBLDxFNI_Utp3CHCk-Q4&_xt=.pdf,https://7168963.app.netsuite.com/app/accounting/transactions/cardchrg.nl?id=55444
71708,E/2024/05/T/281,191.86,166.86,654,Chase Unlimited - 9186,,2024-05-13 00:00:00+00,,https://7168963.app.netsuite.com/core/media/media.nl?id=46654&c=7168963&h=hlF4ZJRN257Js3h2-HasOoXfyWUTUQUTSBygXV2KQB1DMG-W,https://7168963.app.netsuite.com/app/accounting/transactions/cardchrg.nl?id=71708
78312,E/2024/06/T/28,239.28,189.28,654,Chase Unlimited - 9186,,2024-06-03 00:00:00+00,,https://7168963.app.netsuite.com/core/media/media.nl?id=52491&c=7168963&h=QJCRD3uL_EwfT0IBkDinbQwdSFJ1dNtDHW4KTxS2btTF9DTm,https://7168963.app.netsuite.com/app/accounting/transactions/cardchrg.nl?id=78312
55442,E/2024/03/T/232,62,,439,Chase Unlimited - 0434,Chase Unlimited - 9186,2024-03-13 00:00:00+00,,https://7168963.app.netsuite.com/core/media/media.nl?id=36470&c=7168963&h=WLjX_foTHhoP13Y6PhWfGWPLBRSNvkOWlAzidC9PA6kHnUkt,https://7168963.app.netsuite.com/app/accounting/transactions/cardchrg.nl?id=55442
58535,E/2024/03/T/460,35,,439,Chase Unlimited - 0434,Chase Unlimited - 9186,2024-03-22 00:00:00+00,,https://7168963.app.netsuite.com/core/media/media.nl?id=37798&c=7168963&h=jzBQvAaluYSFXM_i_j3BcZIjs4zJRrr7OmbzKVRA54CAOh1v,https://7168963.app.netsuite.com/app/accounting/transactions/cardchrg.nl?id=58535
69852,E/2024/05/T/168,183.94,133.94,654,Chase Unlimited - 9186,,2024-05-08 00:00:00+00,,https://7168963.app.netsuite.com/core/media/media.nl?id=45333&c=7168963&h=vJSAsrzdbGb2mR7ekoMOBqf0wqU6eKbeconqF3QfZSez49iy,https://7168963.app.netsuite.com/app/accounting/transactions/cardchrg.nl?id=69852
67383,E/2024/04/T/572,209,209.03,654,Chase Unlimited - 9186,,2024-04-30 00:00:00+00,05/02/2024,https://7168963.app.netsuite.com/core/media/media.nl?id=43507&c=7168963&h=Ghkg2Mb-RJPZacRVUxZMe4wSFY9BZeXz3IMZpI_YEdnFczfc,https://7168963.app.netsuite.com/app/accounting/transactions/cardchrg.nl?id=67383
62541,E/2024/04/T/315,332,131.85,654,Chase Unlimited - 9186,,2024-04-16 00:00:00+00,,https://7168963.app.netsuite.com/core/media/media.nl?id=40770&c=7168963&h=PqtoEGNvt1y2QLloXfnkLHnOyPWOuBQZ7JEr3DlKMCA521i9,https://7168963.app.netsuite.com/app/accounting/transactions/cardchrg.nl?id=62541
55352,E/2024/03/T/141,9.5,,439,Chase Unlimited - 0434,Chase Unlimited - 9186,2024-03-08 00:00:00+00,,https://7168963.app.netsuite.com/core/media/media.nl?id=36371&c=7168963&h=FYe6cFm24ODP54Hh0tG4mBbR9jI7bF1uhDvbv56y5RFcDNID,https://7168963.app.netsuite.com/app/accounting/transactions/cardchrg.nl?id=55352
62243,E/2024/04/T/233,379.66,329.66,654,Chase Unlimited - 9186,,2024-04-08 00:00:00+00,,https://7168963.app.netsuite.com/core/media/media.nl?id=40552&c=7168963&h=gxGYQfea2yCtA-lrUcb1VRbrzya9NyADdTm8qGm-2hSmBGNX,https://7168963.app.netsuite.com/app/accounting/transactions/cardchrg.nl?id=62243
55357,E/2024/03/T/29,85.88,,439,Chase Unlimited - 0434,Chase Unlimited - 9186,2024-03-03 00:00:00+00,,https://7168963.app.netsuite.com/core/media/media.nl?id=36372&c=7168963&h=zEnQTngveEbHLGAiBowGYt3JFlTyk_GxsftYjP7S0tb55cVZ,https://7168963.app.netsuite.com/app/accounting/transactions/cardchrg.nl?id=55357
58430,E/2024/03/T/443,180.86,,439,Chase Unlimited - 0434,Chase Unlimited - 9186,2024-03-20 00:00:00+00,,https://7168963.app.netsuite.com/core/media/media.nl?id=37695&c=7168963&h=HLSe3soOhkO8WNCczRNLT3NpddmCu7hbqzuX_e7nvIcEUt7_,https://7168963.app.netsuite.com/app/accounting/transactions/cardchrg.nl?id=58430
77569,E/2024/06/T/21,755,555.49,654,Chase Unlimited - 9186,,2024-06-03 00:00:00+00,,https://7168963.app.netsuite.com/core/media/media.nl?id=51873&c=7168963&h=UoJ6sLxcMuMbUXe3lkiBCSFYkcePIJRx-wabiNO1ZWY0fTaf,https://7168963.app.netsuite.com/app/accounting/transactions/cardchrg.nl?id=77569
